"success","rt","trial_type","trial_index","plugin_version","time_elapsed","subj_id","stimulus","response","trail_tag","task","ismatch","target","correct_key","correct","response_key"
"true","3557782","fullscreen","0","2.0.0","3558781","21","","","","","","","","",""
"","17184","html-keynbutton-response","1","2.0.0","3575970","21","
        <div class=""jp px-2 xxs:px-5 mx-auto"">
        <p class=""text-center text-red-600 text-[1.2em] pb-5"">欢迎您参加知觉
          <strong>匹配实验。</strong>
        </p>
        <p>接下来的任务中您将看到一排图形。</p>
        <p>(圆形●或方形■)</p><p>您需要专注于中间的图形，判断中间的图形和两侧的图形<strong>是否匹配</strong>。</p>
        <p>如果图形不匹配，请按“q”；</p>
        <p>如果图形匹配，请按“p”。</p>
        <p>请尽量又快又准地做出反应。</p>
      <p>请按空格键开始练习。</p>
      </div>"," ","","","","","","",""
"","null","html-keynbutton-response","2","2.0.0","3579177","21","<count-down title=""""></count-down>","null","countDown_trial","","","","","",""
"","null","html-keynbutton-response","3","2.0.0","3579682","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","1036","html-keynbutton-response","4","2.0.0","3580721","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""circle""></div><div class=""circle""></div></div>","p","","matchness_practice","match","圆","p","true","match"
"","null","html-keynbutton-response","5","2.0.0","3581230","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","6","2.0.0","3581746","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","765","html-keynbutton-response","7","2.0.0","3582513","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","q","","matchness_practice","mismatch","圆","q","true","mismatch"
"","null","html-keynbutton-response","8","2.0.0","3583029","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","9","2.0.0","3583546","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","406","html-keynbutton-response","10","2.0.0","3583952","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","p","","matchness_practice","match","方","p","true","match"
"","null","html-keynbutton-response","11","2.0.0","3584462","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","12","2.0.0","3584979","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","428","html-keynbutton-response","13","2.0.0","3585408","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_practice","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","14","2.0.0","3585914","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","15","2.0.0","3586429","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","323","html-keynbutton-response","16","2.0.0","3586752","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","p","","matchness_practice","mismatch","圆","q","false","match"
"","null","html-keynbutton-response","17","2.0.0","3587262","21","<span class='text-red-500 text-4xl md:text-5xl lg:text-6xl'>错误!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","18","2.0.0","3587764","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","396","html-keynbutton-response","19","2.0.0","3588160","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_practice","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","20","2.0.0","3588664","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","21","2.0.0","3589179","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","341","html-keynbutton-response","22","2.0.0","3589521","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","p","","matchness_practice","match","方","p","true","match"
"","null","html-keynbutton-response","23","2.0.0","3590029","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","24","2.0.0","3590530","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","590","html-keynbutton-response","25","2.0.0","3591121","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""circle""></div><div class=""circle""></div></div>","p","","matchness_practice","match","圆","p","true","match"
"","null","html-keynbutton-response","26","2.0.0","3591628","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","27","2.0.0","3592130","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","525","html-keynbutton-response","28","2.0.0","3592656","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_practice","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","29","2.0.0","3593163","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","30","2.0.0","3593679","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","433","html-keynbutton-response","31","2.0.0","3594112","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","q","","matchness_practice","mismatch","圆","q","true","mismatch"
"","null","html-keynbutton-response","32","2.0.0","3594614","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","33","2.0.0","3595129","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","295","html-keynbutton-response","34","2.0.0","3595425","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""circle""></div><div class=""circle""></div></div>","p","","matchness_practice","match","圆","p","true","match"
"","null","html-keynbutton-response","35","2.0.0","3595931","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","36","2.0.0","3596446","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","290","html-keynbutton-response","37","2.0.0","3596736","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","p","","matchness_practice","match","方","p","true","match"
"","null","html-keynbutton-response","38","2.0.0","3597244","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","39","2.0.0","3597746","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","365","html-keynbutton-response","40","2.0.0","3598112","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","p","","matchness_practice","match","方","p","true","match"
"","null","html-keynbutton-response","41","2.0.0","3598628","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","42","2.0.0","3599130","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","373","html-keynbutton-response","43","2.0.0","3599504","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","p","","matchness_practice","mismatch","圆","q","false","match"
"","null","html-keynbutton-response","44","2.0.0","3600012","21","<span class='text-red-500 text-4xl md:text-5xl lg:text-6xl'>错误!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","45","2.0.0","3600514","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","349","html-keynbutton-response","46","2.0.0","3600864","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_practice","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","47","2.0.0","3601380","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","48","2.0.0","3601896","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","264","html-keynbutton-response","49","2.0.0","3602160","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""circle""></div><div class=""circle""></div></div>","q","","matchness_practice","match","圆","p","false","mismatch"
"","null","html-keynbutton-response","50","2.0.0","3602663","21","<span class='text-red-500 text-4xl md:text-5xl lg:text-6xl'>错误!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","51","2.0.0","3603179","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","309","html-keynbutton-response","52","2.0.0","3603488","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","p","","matchness_practice","match","方","p","true","match"
"","null","html-keynbutton-response","53","2.0.0","3603996","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","54","2.0.0","3604512","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","303","html-keynbutton-response","55","2.0.0","3604816","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""circle""></div><div class=""circle""></div></div>","p","","matchness_practice","match","圆","p","true","match"
"","null","html-keynbutton-response","56","2.0.0","3605329","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","57","2.0.0","3605830","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","409","html-keynbutton-response","58","2.0.0","3606240","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_practice","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","59","2.0.0","3606747","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","null","html-keynbutton-response","60","2.0.0","3607263","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","321","html-keynbutton-response","61","2.0.0","3607584","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","q","","matchness_practice","mismatch","圆","q","true","mismatch"
"","null","html-keynbutton-response","62","2.0.0","3608096","21","<span class='text-green-400 text-4xl md:text-5xl lg:text-6xl'>正确!</span>","null","trial_feedback","","","","","",""
"","1836","html-keynbutton-response","64","2.0.0","3609937","21","<div class=""jp"">
    <p>您的正确率是：85%</p>
    <p>您的平均反应时间是：426毫秒</p></div>"," ","block_feedback","","","","","",""
"","2093","html-keynbutton-response","65","2.0.0","3612032","21","
        <div class=""jp px-2 xxs:px-5 mx-auto"">
        <p class=""text-center text-red-600 text-[1.2em] pb-5"">练习结束，现在开始正式实验</p>
        <p>请注意：正式实验中将不再会呈现反馈。</p>
        </div>
        "," ","","","","","","",""
"","null","html-keynbutton-response","66","2.0.0","3615243","21","<count-down title=""""></count-down>","null","countDown_trial","","","","","",""
"","null","html-keynbutton-response","67","2.0.0","3615755","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","412","html-keynbutton-response","68","2.0.0","3616168","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_test","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","69","2.0.0","3616671","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","377","html-keynbutton-response","70","2.0.0","3617049","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","q","","matchness_test","match","方","p","false","mismatch"
"","null","html-keynbutton-response","71","2.0.0","3617555","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","499","html-keynbutton-response","72","2.0.0","3618055","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","q","","matchness_test","mismatch","圆","q","true","mismatch"
"","null","html-keynbutton-response","73","2.0.0","3618570","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","333","html-keynbutton-response","74","2.0.0","3618904","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""circle""></div><div class=""circle""></div></div>","p","","matchness_test","match","圆","p","true","match"
"","null","html-keynbutton-response","75","2.0.0","3619420","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","428","html-keynbutton-response","76","2.0.0","3619848","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","q","","matchness_test","mismatch","圆","q","true","mismatch"
"","null","html-keynbutton-response","77","2.0.0","3620354","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","341","html-keynbutton-response","78","2.0.0","3620696","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","p","","matchness_test","match","方","p","true","match"
"","null","html-keynbutton-response","79","2.0.0","3621204","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","419","html-keynbutton-response","80","2.0.0","3621624","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_test","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","81","2.0.0","3622136","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","319","html-keynbutton-response","82","2.0.0","3622456","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""circle""></div><div class=""circle""></div></div>","p","","matchness_test","match","圆","p","true","match"
"","null","html-keynbutton-response","83","2.0.0","3622971","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","269","html-keynbutton-response","84","2.0.0","3623240","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","p","","matchness_test","mismatch","圆","q","false","match"
"","null","html-keynbutton-response","85","2.0.0","3623753","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","430","html-keynbutton-response","86","2.0.0","3624183","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_test","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","87","2.0.0","3624688","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","439","html-keynbutton-response","88","2.0.0","3625128","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","p","","matchness_test","match","方","p","true","match"
"","null","html-keynbutton-response","89","2.0.0","3625635","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","388","html-keynbutton-response","90","2.0.0","3626024","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""circle""></div><div class=""circle""></div></div>","p","","matchness_test","match","圆","p","true","match"
"","null","html-keynbutton-response","91","2.0.0","3626536","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","383","html-keynbutton-response","92","2.0.0","3626920","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","p","","matchness_test","match","方","p","true","match"
"","null","html-keynbutton-response","93","2.0.0","3627437","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","379","html-keynbutton-response","94","2.0.0","3627816","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""circle""></div><div class=""circle""></div></div>","p","","matchness_test","match","圆","p","true","match"
"","null","html-keynbutton-response","95","2.0.0","3628322","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","422","html-keynbutton-response","96","2.0.0","3628745","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","q","","matchness_test","mismatch","圆","q","true","mismatch"
"","null","html-keynbutton-response","97","2.0.0","3629253","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","403","html-keynbutton-response","98","2.0.0","3629656","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_test","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","99","2.0.0","3630170","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","397","html-keynbutton-response","100","2.0.0","3630568","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","p","","matchness_test","match","方","p","true","match"
"","null","html-keynbutton-response","101","2.0.0","3631071","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","425","html-keynbutton-response","102","2.0.0","3631496","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","q","","matchness_test","mismatch","圆","q","true","mismatch"
"","null","html-keynbutton-response","103","2.0.0","3632004","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","419","html-keynbutton-response","104","2.0.0","3632424","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""circle""></div><div class=""circle""></div></div>","p","","matchness_test","match","圆","p","true","match"
"","null","html-keynbutton-response","105","2.0.0","3632937","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","462","html-keynbutton-response","106","2.0.0","3633399","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_test","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","107","2.0.0","3633906","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","453","html-keynbutton-response","108","2.0.0","3634360","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""square""></div><div class=""square""></div></div>","p","","matchness_test","match","方","p","true","match"
"","null","html-keynbutton-response","109","2.0.0","3634871","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","385","html-keynbutton-response","110","2.0.0","3635256","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""circle""></div><div class=""square""></div><div class=""circle""></div></div>","q","","matchness_test","mismatch","方","q","true","mismatch"
"","null","html-keynbutton-response","111","2.0.0","3635770","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
"","333","html-keynbutton-response","112","2.0.0","3636104","21","<div class=""flex flex-row stim-length pb-8 md:pd-20 justify-evenly items-center""><div class=""square""></div><div class=""circle""></div><div class=""square""></div></div>","q","","matchness_test","mismatch","圆","q","true","mismatch"
"","null","html-keynbutton-response","113","2.0.0","3636620","21","<div class=""pb-14 text-7xl"">+</div>","null","fixation","","","","","",""
