"subj_idx","part","difficulty","association","rt","acc","group"
1,"RDK",1,"other",600.291666666667,0.958333333333333,"motion"
1,"RDK",1,"self",854.291666666667,0.708333333333333,"motion"
1,"RDK",2,"other",707.291666666667,0.791666666666667,"motion"
1,"RDK",2,"self",803,0.625,"motion"
1,"RDK",3,"other",685.5,0.875,"motion"
1,"RDK",3,"self",791.25,0.708333333333333,"motion"
1,"RDK",4,"other",666.541666666667,0.708333333333333,"motion"
1,"RDK",4,"self",841.5,0.791666666666667,"motion"
1,"match_RDK",1,"other",1005.33333333333,0.916666666666667,"motion"
1,"match_RDK",1,"self",1599.625,0.6875,"motion"
1,"match_RDK",2,"other",1028.9375,0.895833333333333,"motion"
1,"match_RDK",2,"self",1617.95833333333,0.625,"motion"
1,"match_RDK",3,"other",1081.3829787234,0.893617021276596,"motion"
1,"match_RDK",3,"self",1562.89583333333,0.666666666666667,"motion"
1,"match_RDK",4,"other",1337.0625,0.8125,"motion"
1,"match_RDK",4,"self",1604.4375,0.6875,"motion"
2,"RDK",1,"other",992.291666666667,0.625,"motion"
2,"RDK",1,"self",1115.33333333333,0.5,"motion"
2,"RDK",2,"other",1009.875,0.833333333333333,"motion"
2,"RDK",2,"self",948.541666666667,0.583333333333333,"motion"
2,"RDK",3,"other",1170.95833333333,0.583333333333333,"motion"
2,"RDK",3,"self",1067.70833333333,0.625,"motion"
2,"RDK",4,"other",1212.5,0.666666666666667,"motion"
2,"RDK",4,"self",1175.08333333333,0.458333333333333,"motion"
2,"match_RDK",1,"other",1810.89361702128,0.787234042553192,"motion"
2,"match_RDK",1,"self",1837.52083333333,0.604166666666667,"motion"
2,"match_RDK",2,"other",1905.56818181818,0.795454545454545,"motion"
2,"match_RDK",2,"self",1833.40425531915,0.638297872340426,"motion"
2,"match_RDK",3,"other",1712.69565217391,0.760869565217391,"motion"
2,"match_RDK",3,"self",2043.08333333333,0.541666666666667,"motion"
2,"match_RDK",4,"other",1882.15555555556,0.688888888888889,"motion"
2,"match_RDK",4,"self",2000.08888888889,0.466666666666667,"motion"
3,"RDK",1,"other",979.625,0.916666666666667,"motion"
3,"RDK",1,"self",1003.54166666667,0.75,"motion"
3,"RDK",2,"other",963.666666666667,0.791666666666667,"motion"
3,"RDK",2,"self",956.041666666667,0.75,"motion"
3,"RDK",3,"other",984.416666666667,0.625,"motion"
3,"RDK",3,"self",948.291666666667,0.666666666666667,"motion"
3,"RDK",4,"other",1013.58333333333,0.541666666666667,"motion"
3,"RDK",4,"self",1030.875,0.708333333333333,"motion"
3,"match_RDK",1,"other",1626.16666666667,0.8125,"motion"
3,"match_RDK",1,"self",1434.25,0.833333333333333,"motion"
3,"match_RDK",2,"other",1784.97916666667,0.75,"motion"
3,"match_RDK",2,"self",1659.79166666667,0.8125,"motion"
3,"match_RDK",3,"other",1701.1875,0.75,"motion"
3,"match_RDK",3,"self",1673.02127659574,0.808510638297872,"motion"
3,"match_RDK",4,"other",1747.76744186047,0.581395348837209,"motion"
3,"match_RDK",4,"self",1946.65217391304,0.630434782608696,"motion"
4,"RDK",1,"other",1047.45833333333,0.833333333333333,"motion"
4,"RDK",1,"self",1022.70833333333,0.791666666666667,"motion"
4,"RDK",2,"other",1100.95833333333,0.791666666666667,"motion"
4,"RDK",2,"self",1105.04166666667,0.708333333333333,"motion"
4,"RDK",3,"other",1117.08333333333,0.708333333333333,"motion"
4,"RDK",3,"self",1201.70833333333,0.791666666666667,"motion"
4,"RDK",4,"other",1110.41666666667,0.75,"motion"
4,"RDK",4,"self",1154.375,0.708333333333333,"motion"
4,"match_RDK",1,"other",1507.5,0.854166666666667,"motion"
4,"match_RDK",1,"self",1439.85416666667,0.916666666666667,"motion"
4,"match_RDK",2,"other",1560.77083333333,0.958333333333333,"motion"
4,"match_RDK",2,"self",1733.53191489362,0.829787234042553,"motion"
4,"match_RDK",3,"other",1691.68085106383,0.851063829787234,"motion"
4,"match_RDK",3,"self",1819.67391304348,0.782608695652174,"motion"
4,"match_RDK",4,"other",2181.93333333333,0.644444444444444,"motion"
4,"match_RDK",4,"self",2147.32608695652,0.5,"motion"
5,"RDK",1,"other",661.25,1,"motion"
5,"RDK",1,"self",797.458333333333,0.958333333333333,"motion"
5,"RDK",2,"other",780.791666666667,0.916666666666667,"motion"
5,"RDK",2,"self",911.958333333333,0.875,"motion"
5,"RDK",3,"other",997.958333333333,0.916666666666667,"motion"
5,"RDK",3,"self",1132.95833333333,0.625,"motion"
5,"RDK",4,"other",1060.95833333333,0.916666666666667,"motion"
5,"RDK",4,"self",1416.75,0.583333333333333,"motion"
5,"match_RDK",1,"other",1517.66666666667,0.958333333333333,"motion"
5,"match_RDK",1,"self",1584.14893617021,0.936170212765957,"motion"
5,"match_RDK",2,"other",1630.82608695652,0.891304347826087,"motion"
5,"match_RDK",2,"self",1729.63829787234,0.893617021276596,"motion"
5,"match_RDK",3,"other",2036.55,0.825,"motion"
5,"match_RDK",3,"self",1976.05128205128,0.641025641025641,"motion"
5,"match_RDK",4,"other",2019.80952380952,0.785714285714286,"motion"
5,"match_RDK",4,"self",2061.11627906977,0.627906976744186,"motion"
6,"RDK",1,"other",928.833333333333,0.833333333333333,"motion"
6,"RDK",1,"self",930.875,0.833333333333333,"motion"
6,"RDK",2,"other",894,0.875,"motion"
6,"RDK",2,"self",971.958333333333,0.541666666666667,"motion"
6,"RDK",3,"other",913.625,0.916666666666667,"motion"
6,"RDK",3,"self",951.916666666667,0.666666666666667,"motion"
6,"RDK",4,"other",928.166666666667,0.708333333333333,"motion"
6,"RDK",4,"self",988.708333333333,0.625,"motion"
6,"match_RDK",1,"other",1985.48936170213,0.893617021276596,"motion"
6,"match_RDK",1,"self",1980.95555555556,0.888888888888889,"motion"
6,"match_RDK",2,"other",2020.12765957447,0.851063829787234,"motion"
6,"match_RDK",2,"self",2206.69565217391,0.630434782608696,"motion"
6,"match_RDK",3,"other",2110.55319148936,0.914893617021277,"motion"
6,"match_RDK",3,"self",2143.31111111111,0.6,"motion"
6,"match_RDK",4,"other",2253.14893617021,0.74468085106383,"motion"
6,"match_RDK",4,"self",2239.90909090909,0.590909090909091,"motion"
7,"RDK",1,"other",576.478260869565,1,"motion"
7,"RDK",1,"self",605.478260869565,0.782608695652174,"motion"
7,"RDK",2,"other",600.041666666667,0.958333333333333,"motion"
