"subj_idx","acc","rt","association","difficulty","group","dv_name"
"1",0.916666666666667,1005.33333333333,"other","1","motion","ACC"
"1",0.6875,1599.625,"self","1","motion","ACC"
"1",0.8125,1337.0625,"other","4","motion","ACC"
"1",0.6875,1604.4375,"self","4","motion","ACC"
"2",0.787234042553192,1810.89361702128,"other","1","motion","ACC"
"2",0.604166666666667,1837.52083333333,"self","1","motion","ACC"
"2",0.688888888888889,1882.15555555556,"other","4","motion","ACC"
"2",0.466666666666667,2000.08888888889,"self","4","motion","ACC"
"3",0.8125,1626.16666666667,"other","1","motion","ACC"
"3",0.833333333333333,1434.25,"self","1","motion","ACC"
"3",0.581395348837209,1747.76744186047,"other","4","motion","ACC"
"3",0.630434782608696,1946.65217391304,"self","4","motion","ACC"
"4",0.854166666666667,1507.5,"other","1","motion","ACC"
"4",0.916666666666667,1439.85416666667,"self","1","motion","ACC"
"4",0.644444444444444,2181.93333333333,"other","4","motion","ACC"
"4",0.5,2147.32608695652,"self","4","motion","ACC"
"5",0.958333333333333,1517.66666666667,"other","1","motion","ACC"
"5",0.936170212765957,1584.14893617021,"self","1","motion","ACC"
"5",0.785714285714286,2019.80952380952,"other","4","motion","ACC"
"5",0.627906976744186,2061.11627906977,"self","4","motion","ACC"
"6",0.893617021276596,1985.48936170213,"other","1","motion","ACC"
"6",0.888888888888889,1980.95555555556,"self","1","motion","ACC"
"6",0.74468085106383,2253.14893617021,"other","4","motion","ACC"
"6",0.590909090909091,2239.90909090909,"self","4","motion","ACC"
"7",0.833333333333333,1288.33333333333,"other","1","motion","ACC"
"7",0.58695652173913,1619.9347826087,"self","1","motion","ACC"
"7",0.74468085106383,1458.40425531915,"other","4","motion","ACC"
"7",0.416666666666667,1761.66666666667,"self","4","motion","ACC"
"8",0.723404255319149,1826.08510638298,"other","1","motion","ACC"
"8",0.888888888888889,1620.88888888889,"self","1","motion","ACC"
"8",0.565217391304348,2112.67391304348,"other","4","motion","ACC"
"8",0.4,1896.06666666667,"self","4","motion","ACC"
"9",0.581395348837209,2005.48837209302,"other","1","motion","ACC"
"9",0.791666666666667,1802.0625,"self","1","motion","ACC"
"9",0.577777777777778,2035.2,"other","4","motion","ACC"
"9",0.5,2217.80434782609,"self","4","motion","ACC"
"10",0.74468085106383,1929.46808510638,"other","1","motion","ACC"
"10",0.711111111111111,1983.48888888889,"self","1","motion","ACC"
"10",0.553191489361702,2024.25531914894,"other","4","motion","ACC"
"10",0.488888888888889,2223.4,"self","4","motion","ACC"
"11",0.829787234042553,1849.12765957447,"other","1","motion","ACC"
"11",0.893617021276596,1660.42553191489,"self","1","motion","ACC"
"11",0.622222222222222,2141.51111111111,"other","4","motion","ACC"
"11",0.5625,2266.22916666667,"self","4","motion","ACC"
"12",0.571428571428571,2051.71428571429,"other","1","motion","ACC"
"12",0.5,2133.75,"self","1","motion","ACC"
"12",0.545454545454545,2061.20454545455,"other","4","motion","ACC"
"12",0.454545454545455,2159.95454545455,"self","4","motion","ACC"
"13",0.895833333333333,1532.39583333333,"other","1","motion","ACC"
"13",0.787234042553192,1621.29787234043,"self","1","motion","ACC"
"13",0.767441860465116,1802.55813953488,"other","4","motion","ACC"
"13",0.434782608695652,2007.32608695652,"self","4","motion","ACC"
"14",0.833333333333333,1750.91666666667,"other","1","motion","ACC"
"14",0.808510638297872,1796.93617021277,"self","1","motion","ACC"
"14",0.574468085106383,2002.85106382979,"other","4","motion","ACC"
"14",0.456521739130435,2003.78260869565,"self","4","motion","ACC"
"15",0.6875,1451.875,"other","1","motion","ACC"
"15",0.520833333333333,1562.64583333333,"self","1","motion","ACC"
"15",0.645833333333333,1505.22916666667,"other","4","motion","ACC"
"15",0.520833333333333,1459.08333333333,"self","4","motion","ACC"
