"subj_idx","acc","rt","association","difficulty","isMatch","group"
"21",0.791666666666667,1242.375,"other","1","match","color"
"21",0.75,1337.16666666667,"other","1","mismatch","color"
"21",1,1130.70833333333,"self","1","match","color"
"21",0.75,1339.29166666667,"self","1","mismatch","color"
"21",0.708333333333333,1458.375,"other","2","match","color"
"21",0.625,1395.875,"other","2","mismatch","color"
"21",0.875,1373,"self","2","match","color"
"21",0.708333333333333,1339.66666666667,"self","2","mismatch","color"
"21",0.565217391304348,1474.47826086957,"other","3","match","color"
"21",0.458333333333333,1644.45833333333,"other","3","mismatch","color"
"21",0.875,1522.91666666667,"self","3","match","color"
"21",0.708333333333333,1588.20833333333,"self","3","mismatch","color"
"21",0.541666666666667,1419.29166666667,"other","4","match","color"
"21",0.416666666666667,1409.41666666667,"other","4","mismatch","color"
"21",0.708333333333333,1379.91666666667,"self","4","match","color"
"21",0.708333333333333,1536.125,"self","4","mismatch","color"
"22",1,859.083333333333,"other","1","match","color"
"22",1,1030.08333333333,"other","1","mismatch","color"
"22",0.916666666666667,1015.54166666667,"self","1","match","color"
"22",1,1211.75,"self","1","mismatch","color"
"22",0.958333333333333,897.416666666667,"other","2","match","color"
"22",0.916666666666667,1064.45833333333,"other","2","mismatch","color"
"22",0.791666666666667,1357.41666666667,"self","2","match","color"
"22",0.869565217391304,1290.47826086957,"self","2","mismatch","color"
"22",1,1113.54166666667,"other","3","match","color"
"22",1,1163.91666666667,"other","3","mismatch","color"
"22",0.541666666666667,1212,"self","3","match","color"
"22",0.75,1340.75,"self","3","mismatch","color"
"22",0.875,1285.54166666667,"other","4","match","color"
"22",0.791666666666667,1195.125,"other","4","mismatch","color"
"22",0.541666666666667,1241.08333333333,"self","4","match","color"
"22",0.5,1344.16666666667,"self","4","mismatch","color"
"23",0.916666666666667,1039.08333333333,"other","1","match","color"
"23",1,993.5,"other","1","mismatch","color"
"23",0.958333333333333,909.625,"self","1","match","color"
"23",0.916666666666667,994.25,"self","1","mismatch","color"
"23",0.875,1053.25,"other","2","match","color"
"23",0.875,1106.70833333333,"other","2","mismatch","color"
"23",0.791666666666667,1015.70833333333,"self","2","match","color"
"23",0.916666666666667,1117.04166666667,"self","2","mismatch","color"
"23",0.708333333333333,1151.95833333333,"other","3","match","color"
"23",0.875,1171.45833333333,"other","3","mismatch","color"
"23",0.75,1199.125,"self","3","match","color"
"23",0.583333333333333,1290.54166666667,"self","3","mismatch","color"
"23",0.583333333333333,1184.45833333333,"other","4","match","color"
"23",0.625,1113.95833333333,"other","4","mismatch","color"
"23",0.416666666666667,1169.16666666667,"self","4","match","color"
"23",0.625,1151.375,"self","4","mismatch","color"
"24",0.916666666666667,1086.83333333333,"other","1","match","color"
"24",1,1036.45833333333,"other","1","mismatch","color"
