"subj_idx","acc","rt","association","difficulty","group"
"21",0.958333333333333,902.708333333333,"other","1","color"
"21",0.958333333333333,771.583333333333,"self","1","color"
"21",0.833333333333333,973.625,"other","2","color"
"21",0.833333333333333,792.291666666667,"self","2","color"
"21",0.5,1032.91666666667,"other","3","color"
"21",0.833333333333333,928.958333333333,"self","3","color"
"21",0.541666666666667,948.791666666667,"other","4","color"
"21",0.791666666666667,953.791666666667,"self","4","color"
"22",1,572.708333333333,"other","1","color"
"22",0.833333333333333,701.916666666667,"self","1","color"
"22",1,700.625,"other","2","color"
"22",0.875,870,"self","2","color"
"22",0.958333333333333,782.25,"other","3","color"
"22",0.708333333333333,822.875,"self","3","color"
"22",0.916666666666667,896.208333333333,"other","4","color"
"22",0.5,861.916666666667,"self","4","color"
"23",0.833333333333333,811.583333333333,"other","1","color"
"23",1,653.083333333333,"self","1","color"
"23",0.708333333333333,783.041666666667,"other","2","color"
"23",0.875,668.75,"self","2","color"
"23",0.583333333333333,944.291666666667,"other","3","color"
"23",0.791666666666667,810.541666666667,"self","3","color"
"23",0.625,877.041666666667,"other","4","color"
"23",0.75,836.041666666667,"self","4","color"
"24",0.958333333333333,986.708333333333,"other","1","color"
"24",1,940.916666666667,"self","1","color"
"24",0.904761904761905,1208.57142857143,"other","2","color"
"24",0.958333333333333,1116.45833333333,"self","2","color"
"24",0.590909090909091,1484.77272727273,"other","3","color"
"24",0.958333333333333,1262.25,"self","3","color"
"24",0.416666666666667,1664.54166666667,"other","4","color"
"24",0.708333333333333,1631.66666666667,"self","4","color"
"25",1,946.958333333333,"other","1","color"
"25",0.958333333333333,907.166666666667,"self","1","color"
"25",1,1095.70833333333,"other","2","color"
"25",0.958333333333333,1067.79166666667,"self","2","color"
"25",0.875,1043.58333333333,"other","3","color"
"25",0.75,1166.5,"self","3","color"
"25",0.583333333333333,1293.70833333333,"other","4","color"
"25",0.708333333333333,1349.25,"self","4","color"
"26",0.916666666666667,775.833333333333,"other","1","color"
"26",1,726.041666666667,"self","1","color"
"26",0.916666666666667,826.666666666667,"other","2","color"
"26",0.916666666666667,736.583333333333,"self","2","color"
"26",0.708333333333333,861.791666666667,"other","3","color"
"26",0.833333333333333,835.708333333333,"self","3","color"
"26",0.583333333333333,807.875,"other","4","color"
"26",0.75,856.375,"self","4","color"
"27",0.958333333333333,681.708333333333,"other","1","color"
"27",1,706.541666666667,"self","1","color"
"27",0.791666666666667,755.625,"other","2","color"
"27",0.875,683.75,"self","2","color"
"27",0.541666666666667,766.5,"other","3","color"
"27",0.833333333333333,853.875,"self","3","color"
"27",0.541666666666667,757.125,"other","4","color"
"27",0.666666666666667,813.625,"self","4","color"
"28",1,1101.08695652174,"other","1","color"
"28",0.916666666666667,1081,"self","1","color"
"28",0.916666666666667,1133.16666666667,"other","2","color"
"28",0.791666666666667,1233.58333333333,"self","2","color"
"28",0.75,1135.70833333333,"other","3","color"
"28",0.791666666666667,1274.91666666667,"self","3","color"
"28",0.695652173913043,1343.69565217391,"other","4","color"
"28",0.75,1334.66666666667,"self","4","color"
"29",0.916666666666667,733.875,"other","1","color"
"29",0.958333333333333,641.375,"self","1","color"
"29",0.695652173913043,743.347826086957,"other","2","color"
"29",0.833333333333333,654.458333333333,"self","2","color"
"29",0.541666666666667,752.75,"other","3","color"
"29",0.833333333333333,727.666666666667,"self","3","color"
"29",0.304347826086957,799.695652173913,"other","4","color"
"29",0.583333333333333,722.458333333333,"self","4","color"
"30",0.958333333333333,873.916666666667,"other","1","color"
"30",0.875,867.916666666667,"self","1","color"
"30",0.833333333333333,904.666666666667,"other","2","color"
"30",0.916666666666667,813.208333333333,"self","2","color"
"30",0.916666666666667,1041.125,"other","3","color"
"30",0.666666666666667,974.583333333333,"self","3","color"
"30",0.666666666666667,1097.54166666667,"other","4","color"
"30",0.625,1068.75,"self","4","color"
