"subj_idx","acc","rt","association","difficulty","isMatch","group"
"1",0.958333333333333,929.625,"other","1","match","motion"
"1",0.875,1081.04166666667,"other","1","mismatch","motion"
"1",0.625,1520.75,"self","1","match","motion"
"1",0.75,1678.5,"self","1","mismatch","motion"
"1",0.875,1077.54166666667,"other","2","match","motion"
"1",0.916666666666667,980.333333333333,"other","2","mismatch","motion"
"1",0.666666666666667,1574.70833333333,"self","2","match","motion"
"1",0.583333333333333,1661.20833333333,"self","2","mismatch","motion"
"1",1,1089.20833333333,"other","3","match","motion"
"1",0.782608695652174,1073.21739130435,"other","3","mismatch","motion"
"1",0.625,1466.20833333333,"self","3","match","motion"
"1",0.708333333333333,1659.58333333333,"self","3","mismatch","motion"
"1",0.791666666666667,1349.29166666667,"other","4","match","motion"
"1",0.833333333333333,1324.83333333333,"other","4","mismatch","motion"
"1",0.625,1618.91666666667,"self","4","match","motion"
"1",0.75,1589.95833333333,"self","4","mismatch","motion"
"2",0.916666666666667,1747.04166666667,"other","1","match","motion"
"2",0.652173913043478,1877.52173913043,"other","1","mismatch","motion"
"2",0.708333333333333,1773.66666666667,"self","1","match","motion"
"2",0.5,1901.375,"self","1","mismatch","motion"
"2",0.952380952380952,1762.09523809524,"other","2","match","motion"
"2",0.652173913043478,2036.5652173913,"other","2","mismatch","motion"
"2",0.782608695652174,1695.95652173913,"self","2","match","motion"
"2",0.5,1965.125,"self","2","mismatch","motion"
"2",0.818181818181818,1566.18181818182,"other","3","match","motion"
"2",0.708333333333333,1847,"other","3","mismatch","motion"
"2",0.666666666666667,1990.20833333333,"self","3","match","motion"
"2",0.416666666666667,2095.95833333333,"self","3","mismatch","motion"
"2",0.761904761904762,1788.47619047619,"other","4","match","motion"
"2",0.625,1964.125,"other","4","mismatch","motion"
"2",0.565217391304348,1934.30434782609,"self","4","match","motion"
"2",0.363636363636364,2068.86363636364,"self","4","mismatch","motion"
"3",0.791666666666667,1620.20833333333,"other","1","match","motion"
"3",0.833333333333333,1632.125,"other","1","mismatch","motion"
"3",0.875,1277.20833333333,"self","1","match","motion"
"3",0.791666666666667,1591.29166666667,"self","1","mismatch","motion"
"3",0.708333333333333,1785.875,"other","2","match","motion"
"3",0.791666666666667,1784.08333333333,"other","2","mismatch","motion"
"3",0.875,1580.5,"self","2","match","motion"
"3",0.75,1739.08333333333,"self","2","mismatch","motion"
"3",0.666666666666667,1694.875,"other","3","match","motion"
"3",0.833333333333333,1707.5,"other","3","mismatch","motion"
"3",0.791666666666667,1716.875,"self","3","match","motion"
"3",0.826086956521739,1627.26086956522,"self","3","mismatch","motion"
"3",0.571428571428571,1799.47619047619,"other","4","match","motion"
"3",0.590909090909091,1698.40909090909,"other","4","mismatch","motion"
"3",0.695652173913043,1984.39130434783,"self","4","match","motion"
"3",0.565217391304348,1908.91304347826,"self","4","mismatch","motion"
"4",0.875,1473.91666666667,"other","1","match","motion"
"4",0.833333333333333,1541.08333333333,"other","1","mismatch","motion"
"4",0.916666666666667,1343.04166666667,"self","1","match","motion"
"4",0.916666666666667,1536.66666666667,"self","1","mismatch","motion"
"4",0.958333333333333,1566.5,"other","2","match","motion"
"4",0.958333333333333,1555.04166666667,"other","2","mismatch","motion"
"4",0.782608695652174,1739,"self","2","match","motion"
"4",0.875,1728.29166666667,"self","2","mismatch","motion"
"4",0.869565217391304,1809.13043478261,"other","3","match","motion"
"4",0.833333333333333,1579.125,"other","3","mismatch","motion"
"4",0.869565217391304,1847.52173913043,"self","3","match","motion"
"4",0.695652173913043,1791.82608695652,"self","3","mismatch","motion"
"4",0.619047619047619,2201.47619047619,"other","4","match","motion"
"4",0.666666666666667,2164.83333333333,"other","4","mismatch","motion"
"4",0.458333333333333,2167.29166666667,"self","4","match","motion"
"4",0.545454545454545,2125.54545454545,"self","4","mismatch","motion"
"5",0.958333333333333,1511.875,"other","1","match","motion"
"5",0.958333333333333,1523.45833333333,"other","1","mismatch","motion"
"5",1,1456,"self","1","match","motion"
"5",0.869565217391304,1717.86956521739,"self","1","mismatch","motion"
"5",0.863636363636364,1500.86363636364,"other","2","match","motion"
"5",0.916666666666667,1749.95833333333,"other","2","mismatch","motion"
"5",0.958333333333333,1715.20833333333,"self","2","match","motion"
"5",0.826086956521739,1744.69565217391,"self","2","mismatch","motion"
"5",0.863636363636364,1912.45454545455,"other","3","match","motion"
"5",0.777777777777778,2188.22222222222,"other","3","mismatch","motion"
"5",0.75,1980.6,"self","3","match","motion"
"5",0.526315789473684,1971.26315789474,"self","3","mismatch","motion"
"5",0.857142857142857,2107.04761904762,"other","4","match","motion"
"5",0.714285714285714,1932.57142857143,"other","4","mismatch","motion"
"5",0.681818181818182,2006.36363636364,"self","4","match","motion"
"5",0.571428571428571,2118.47619047619,"self","4","mismatch","motion"
"6",0.875,1834.58333333333,"other","1","match","motion"
"6",0.91304347826087,2142.95652173913,"other","1","mismatch","motion"
"6",0.826086956521739,1835.26086956522,"self","1","match","motion"
"6",0.954545454545455,2133.27272727273,"self","1","mismatch","motion"
"6",0.833333333333333,1999.70833333333,"other","2","match","motion"
"6",0.869565217391304,2041.4347826087,"other","2","mismatch","motion"
"6",0.608695652173913,2134.82608695652,"self","2","match","motion"
"6",0.652173913043478,2278.5652173913,"self","2","mismatch","motion"
"6",0.875,2140.58333333333,"other","3","match","motion"
"6",0.956521739130435,2079.21739130435,"other","3","mismatch","motion"
"6",0.565217391304348,2069.5652173913,"self","3","match","motion"
"6",0.636363636363636,2220.40909090909,"self","3","mismatch","motion"
"6",0.625,2326.625,"other","4","match","motion"
"6",0.869565217391304,2176.47826086957,"other","4","mismatch","motion"
"6",0.523809523809524,2368.7619047619,"self","4","match","motion"
"6",0.652173913043478,2122.26086956522,"self","4","mismatch","motion"
"7",0.916666666666667,1217.41666666667,"other","1","match","motion"
"7",0.75,1359.25,"other","1","mismatch","motion"
"7",0.434782608695652,1544.78260869565,"self","1","match","motion"
"7",0.739130434782609,1695.08695652174,"self","1","mismatch","motion"
"7",0.833333333333333,1571,"other","2","match","motion"
"7",0.791666666666667,1433.66666666667,"other","2","mismatch","motion"
"7",0.541666666666667,1606.29166666667,"self","2","match","motion"
"7",0.652173913043478,1742.52173913043,"self","2","mismatch","motion"
