"subj_id","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","coherence","isMatch","association","difficulty","dot_color_final","target_color_proportion"
"9","女",23,"右","都不是","match_RDK","2251","j",1,0,0.11,"mismatch","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,180,0.03,"match","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1621","j",0,180,0.11,"match","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,180,0.03,"mismatch","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1703","j",1,180,0.08,"mismatch","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2194","f",1,0,0.08,"match","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,180,0.08,"match","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1917","j",1,180,0.11,"mismatch","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2656","f",0,0,0.03,"mismatch","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1874","f",1,0,0.11,"match","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2535","f",1,180,0.03,"match","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2752","f",0,180,0.03,"mismatch","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,0,0.03,"match","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2741","j",0,0,0.03,"match","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,0,0.03,"mismatch","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1884","j",1,0,0.08,"mismatch","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2894","j",1,180,0.03,"mismatch","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2937","j",0,180,0.03,"match","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2355","f",0,0,0.11,"mismatch","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,0,0.03,"match","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1992","j",1,180,0.08,"mismatch","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2249","f",0,180,0.03,"mismatch","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1564","f",1,0,0.08,"match","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2569","j",0,0,0.03,"match","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1842","f",1,180,0.03,"match","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1205","f",1,0,0.11,"match","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2499","f",0,0,0.03,"mismatch","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1742","f",1,180,0.08,"match","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1415","f",1,180,0.11,"match","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,0,0.03,"mismatch","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2211","j",1,180,0.11,"mismatch","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1544","j",1,0,0.08,"mismatch","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2697","j",1,180,0.03,"mismatch","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2699","f",0,180,0.08,"mismatch","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1660","j",1,0,0.08,"mismatch","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2234","f",1,180,0.11,"match","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2188","j",1,0,0.11,"mismatch","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1123","f",1,180,0.08,"match","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1045","j",1,180,0.11,"mismatch","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2857","f",1,0,0.03,"match","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2758","j",1,180,0.03,"mismatch","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2133","j",1,0,0.03,"mismatch","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1679","f",1,0,0.03,"match","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2810","f",1,180,0.03,"match","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1767","f",1,0,0.08,"match","self","2","[""white""]",0
