"Participant_ID","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","match","association","difficulty"
"Exp1A_16","女",23,"右","都不是","match_RDK","1200","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","974","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1238","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1090","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1126","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1144","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","970","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","993","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","919","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","865","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1021","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","948","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1005","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","867","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1102","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1010","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1015","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","974","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","982","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1085","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1441","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1078","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1291","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","920","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","830","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","830","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1243","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1319","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1281","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1085","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1137","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1410","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1449","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","990","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1365","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1149","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1054","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1026","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","920","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","962","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1125","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","838","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","786","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","803","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","833","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","864","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1324","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1285","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1103","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","866","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","865","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1227","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","666","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","909","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1082","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","972","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","995","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","748","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","876","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","743","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","744","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1433","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","927","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","937","f",0,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","866","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","798","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","893","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","712","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","970","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1284","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","670","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","850","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","959","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1097","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1051","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","976","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","918","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","945","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","905","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1015","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","784","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","847","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1261","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","825","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1047","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","684","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","784","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","895","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","683","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","782","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","894","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","873","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1032","j",0,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1165","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","924","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","838","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","883","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","895","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","842","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","936","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1153","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","723","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1171","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","901","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","975","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","967","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1231","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","957","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","693","f",1,"yes","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","1017","j",1,"no","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","815","j",1,"no","other",""
"Exp1A_16","女",23,"右","都不是","match_RDK","908","f",1,"yes","self",""
"Exp1A_16","女",23,"右","都不是","match_RDK","855","f",1,"yes","other",""
