"Participant_ID" "part" "difficulty" "target_color_proportion" "avg_rt" "max_rt" "min_rt" "sd_rt" "all_count" "row_count" "correct_count" "acc" "subject_id"
1 "color_formal" "easy_formal" 0.64 794.916666666667 966 599 96.9306864259946 24 24 20 0.833333333333333 "1"
1 "color_formal" "easy_formal" 0.645625 839.541666666667 1017 656 106.465335925 24 24 21 0.875 "1"
1 "color_formal" "easy_formal" 0.6475 859.583333333333 1161 648 114.595666002981 24 24 16 0.666666666666667 "1"
1 "color_formal" "easy_formal" 0.649375 876.291666666667 1095 761 90.2939543292119 24 24 18 0.75 "1"
1 "color_formal" "easy_formal" 0.65125 812.916666666667 1171 625 126.868270150635 24 24 18 0.75 "1"
1 "color_formal" "easy_formal" 0.653125 893.375 1087 729 96.6314434827775 24 24 21 0.875 "1"
1 "color_formal" "easy_formal" 0.655 795.666666666667 936 672 77.131545831254 24 24 21 0.875 "1"
1 "color_formal" "easy_formal" 0.6575 845.666666666667 995 664 95.6104718053445 24 24 23 0.958333333333333 "1"
1 "color_formal" "easy_formal" 0.66 835.375 1854 636 235.574563567462 24 24 22 0.916666666666667 "1"
1 "color_formal" "hard_formal" 0.51 833.825 1128 599 108.278869847548 120 120 75 0.625 "1"
1 "color_formal" "hard_formal" 0.51125 800.319444444444 1084 529 149.765340053622 72 72 46 0.638888888888889 "1"
1 "color_formal" "hard_formal" 0.515 822.208333333333 1120 632 115.636980382074 24 24 19 0.791666666666667 "1"
1 "color_formal" "hard_formal" 0.52 873.217391304348 1108 648 134.3096681424 23 23 16 0.695652173913043 "1"
2 "color_formal" "easy_formal" 0.579375 696.5 905 567 100.504812776824 24 24 19 0.791666666666667 "2"
2 "color_formal" "easy_formal" 0.58 665.625 915 510 115.074196291671 24 24 19 0.791666666666667 "2"
2 "color_formal" "easy_formal" 0.580625 658.666666666667 892 493 123.863763401804 24 24 18 0.75 "2"
2 "color_formal" "easy_formal" 0.581875 604.666666666667 966 381 135.272564353111 24 24 20 0.833333333333333 "2"
2 "color_formal" "easy_formal" 0.584375 624.869565217391 924 372 132.593810477997 23 23 20 0.869565217391304 "2"
2 "color_formal" "easy_formal" 0.588125 762.583333333333 1469 548 230.829867080133 24 24 22 0.916666666666667 "2"
2 "color_formal" "easy_formal" 0.596875 732.791666666667 1230 502 163.867650511191 24 24 22 0.916666666666667 "2"
2 "color_formal" "easy_formal" 0.608125 671.916666666667 973 522 111.125435067047 24 24 19 0.791666666666667 "2"
2 "color_formal" "easy_formal" 0.60875 689.333333333333 1116 476 150.77644455247 24 24 23 0.958333333333333 "2"
2 "color_formal" "easy_formal" 0.62 741 1237 532 161.234368976129 24 24 23 0.958333333333333 "2"
2 "color_formal" "hard_formal" 0.514375 705.958333333333 952 396 127.425503954158 24 24 13 0.541666666666667 "2"
2 "color_formal" "hard_formal" 0.525625 942.541666666667 1501 613 266.556948669619 24 24 18 0.75 "2"
2 "color_formal" "hard_formal" 0.526875 785.75 1124 522 164.351756911814 24 24 12 0.5 "2"
2 "color_formal" "hard_formal" 0.52875 837.083333333333 1291 574 153.49406352114 24 24 15 0.625 "2"
2 "color_formal" "hard_formal" 0.529375 712.916666666667 1085 448 164.991940953824 24 24 11 0.458333333333333 "2"
2 "color_formal" "hard_formal" 0.534375 830.666666666667 1459 589 246.225182667635 24 24 14 0.583333333333333 "2"
2 "color_formal" "hard_formal" 0.535625 930.333333333333 1684 588 230.024888382458 24 24 13 0.541666666666667 "2"
2 "color_formal" "hard_formal" 0.54 833.458333333333 1809 549 235.751217440807 48 48 37 0.770833333333333 "2"
2 "color_formal" "hard_formal" 0.55 699.652173913043 1160 495 173.431309089022 23 23 20 0.869565217391304 "2"
3 "color_formal" "easy_formal" 0.563125 909.875 1100 663 110.794487580659 24 24 20 0.833333333333333 "3"
3 "color_formal" "easy_formal" 0.56875 923.75 1164 762 132.76892315795 24 24 21 0.875 "3"
3 "color_formal" "easy_formal" 0.580625 911.541666666667 1192 703 106.397931970204 24 24 23 0.958333333333333 "3"
3 "color_formal" "easy_formal" 0.5825 857.458333333333 1088 635 137.96060533061 24 24 18 0.75 "3"
3 "color_formal" "easy_formal" 0.58625 931.333333333333 1135 664 106.222353606937 24 24 21 0.875 "3"
3 "color_formal" "easy_formal" 0.59125 850 987 665 100.84641788383 24 24 22 0.916666666666667 "3"
3 "color_formal" "easy_formal" 0.59375 874.916666666667 1108 654 99.1388646936892 24 24 20 0.833333333333333 "3"
3 "color_formal" "easy_formal" 0.6025 831.666666666667 1052 642 102.074425816642 24 24 22 0.916666666666667 "3"
3 "color_formal" "easy_formal" 0.605 856.25 1155 700 133.215826844032 24 24 20 0.833333333333333 "3"
3 "color_formal" "easy_formal" 0.62 867.75 1159 667 120.983739475151 24 24 24 1 "3"
3 "color_formal" "hard_formal" 0.521875 981.208333333333 1249 769 120.472612498936 24 24 18 0.75 "3"
3 "color_formal" "hard_formal" 0.53 1014.75 1231 741 128.882572100747 24 24 17 0.708333333333333 "3"
3 "color_formal" "hard_formal" 0.533125 918.25 1255 656 138.680505510672 24 24 13 0.541666666666667 "3"
3 "color_formal" "hard_formal" 0.535625 916.217391304348 1193 713 123.492714736074 23 23 12 0.521739130434783 "3"
3 "color_formal" "hard_formal" 0.5375 912.291666666667 1259 659 141.753760525738 24 24 15 0.625 "3"
3 "color_formal" "hard_formal" 0.538125 999.125 1272 822 113.911984520468 24 24 17 0.708333333333333 "3"
3 "color_formal" "hard_formal" 0.543125 914.25 1224 635 149.190351127562 24 24 16 0.666666666666667 "3"
3 "color_formal" "hard_formal" 0.5475 869 1107 696 111.484840069031 24 24 19 0.791666666666667 "3"
3 "color_formal" "hard_formal" 0.555625 895.25 1202 736 127.46090619753 24 24 17 0.708333333333333 "3"
3 "color_formal" "hard_formal" 0.57 856.583333333333 1126 578 122.634457412782 24 24 19 0.791666666666667 "3"
4 "color_formal" "easy_formal" 0.58 1187.20833333333 1929 832 284.211185895991 24 24 18 0.75 "4"
