"Participant_ID" "part" "difficulty" "target_color_proportion" "dot_color_final" "avg_rt" "max_rt" "min_rt" "sd_rt" "all_count" "row_count" "correct_count" "acc"
1 "color_formal" "easy_formal" 0.64 "blue" 777.833333333333 917 649 81.1887064843754 12 12 9 0.75
1 "color_formal" "easy_formal" 0.64 "red" 812 966 599 111.431185450524 12 12 11 0.916666666666667
1 "color_formal" "easy_formal" 0.645625 "blue" 889.666666666667 1017 695 81.9393715259069 12 12 12 1
1 "color_formal" "easy_formal" 0.645625 "red" 789.416666666667 954 656 107.257937475579 12 12 9 0.75
1 "color_formal" "easy_formal" 0.6475 "blue" 909.916666666667 1161 777 110.913937425156 12 12 8 0.666666666666667
1 "color_formal" "easy_formal" 0.6475 "red" 809.25 990 648 98.1261942602484 12 12 8 0.666666666666667
1 "color_formal" "easy_formal" 0.649375 "blue" 894.916666666667 1095 773 118.546851753246 12 12 6 0.5
1 "color_formal" "easy_formal" 0.649375 "red" 857.666666666667 930 761 47.2966140116784 12 12 12 1
1 "color_formal" "easy_formal" 0.65125 "blue" 820.5 1041 725 87.6610206731278 12 12 8 0.666666666666667
1 "color_formal" "easy_formal" 0.65125 "red" 805.333333333333 1171 625 160.762011191775 12 12 10 0.833333333333333
1 "color_formal" "easy_formal" 0.653125 "blue" 927.5 1087 729 114.565979402105 12 12 9 0.75
1 "color_formal" "easy_formal" 0.653125 "red" 859.25 956 742 62.1129835644105 12 12 12 1
1 "color_formal" "easy_formal" 0.655 "blue" 813.416666666667 936 683 75.7861324965714 12 12 9 0.75
1 "color_formal" "easy_formal" 0.655 "red" 777.916666666667 936 672 77.5141727021386 12 12 12 1
1 "color_formal" "easy_formal" 0.6575 "blue" 873.75 995 664 104.246321060004 12 12 11 0.916666666666667
1 "color_formal" "easy_formal" 0.6575 "red" 817.583333333333 983 707 80.7819267965904 12 12 12 1
1 "color_formal" "easy_formal" 0.66 "blue" 915.416666666667 1854 730 308.201368156167 12 12 11 0.916666666666667
1 "color_formal" "easy_formal" 0.66 "red" 755.333333333333 890 636 84.0804088448382 12 12 11 0.916666666666667
1 "color_formal" "hard_formal" 0.51 "blue" 842.4 1122 599 101.016394037833 60 60 37 0.616666666666667
