"Participant_ID","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","match","association","difficulty"
"Exp1A_1","女",23,"右","都不是","match_RDK",1484,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1566,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1471,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1156,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1155,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1783,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1288,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1159,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",2008,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1249,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1803,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1256,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1557,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1541,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1800,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1178,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1166,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1150,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1695,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1818,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1135,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1489,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1457,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1812,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1534,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1536,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1362,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1802,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1834,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1621,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1382,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1548,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1548,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1167,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1598,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1245,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1193,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1161,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1133,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1403,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",977,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",887,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1154,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1155,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1266,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1054,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1236,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1009,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1367,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1199,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1086,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",993,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",953,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1377,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1272,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1204,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1283,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1007,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1464,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1441,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1168,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",976,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",883,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1121,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1092,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1027,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1232,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1147,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",845,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1434,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1070,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1086,"f",0,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1333,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1666,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1020,"f",0,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1362,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1201,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1189,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1224,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1140,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1710,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1851,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1198,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1262,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",954,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1154,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1236,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1393,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1154,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",902,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1556,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",947,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1516,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1118,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1409,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1604,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1719,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1295,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1133,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1228,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1097,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1261,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1256,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",932,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1135,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",922,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",996,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1249,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1502,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",874,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1260,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1370,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",879,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",892,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",937,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1602,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1695,"j",1,"no","other",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1450,"j",1,"no","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",911,"f",1,"yes","self",""
"Exp1A_1","女",23,"右","都不是","match_RDK",1595,"f",1,"yes","other",""
"Exp1A_1","女",23,"右","都不是","RDK",955,"arrowleft",1,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1365,"arrowright",1,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1052,"arrowleft",0,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1792,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1425,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",2685,"arrowright",1,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",2656,"arrowleft",1,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",-1,"",0,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",666,"arrowleft",1,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1020,"arrowright",1,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1942,"arrowleft",1,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1871,"arrowleft",0,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1686,"arrowleft",1,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1589,"arrowright",0,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1621,"arrowleft",0,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",916,"arrowright",1,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1628,"arrowleft",0,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1915,"arrowright",0,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",2062,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",2042,"arrowleft",0,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1782,"arrowright",1,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1886,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",2747,"arrowright",0,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",2850,"arrowleft",0,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1742,"arrowright",1,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",-1,"",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1007,"arrowright",1,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1558,"arrowleft",1,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1718,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1903,"arrowright",0,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1764,"arrowleft",0,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",2486,"arrowright",1,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1749,"arrowleft",0,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",2113,"arrowright",0,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1753,"arrowleft",1,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1997,"arrowleft",0,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",2387,"arrowleft",1,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1390,"arrowright",0,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",2405,"arrowright",1,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1801,"arrowleft",0,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1683,"arrowleft",0,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1152,"arrowright",1,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1056,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1861,"arrowleft",1,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1657,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1297,"arrowright",1,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",736,"arrowright",1,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",578,"arrowleft",1,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",538,"arrowright",0,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",997,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1738,"arrowleft",0,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",581,"arrowright",1,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",972,"arrowright",1,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",627,"arrowleft",1,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",617,"arrowright",1,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",526,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1160,"arrowleft",0,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1195,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",827,"arrowright",0,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",662,"arrowright",1,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",1500,"arrowleft",1,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1771,"arrowleft",0,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",743,"arrowright",1,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",2440,"arrowleft",1,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",2262,"arrowleft",1,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",2224,"arrowleft",1,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1807,"arrowright",1,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",2002,"arrowleft",0,"","self","easy"
"Exp1A_1","女",23,"右","都不是","RDK",-1,"",0,"","self","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1018,"arrowright",0,"","other","difficult"
"Exp1A_1","女",23,"右","都不是","RDK",1278,"arrowright",0,"","other","easy"
"Exp1A_1","女",23,"右","都不是","RDK",759,"arrowright",1,"","self","easy"
